k,n,beta
0.2,0.35,0.504830558279517-1.66613557977324e-68i
0.2,0.4,0.509981386208758+0i
0.2,0.45,0.514638006593234-4.15853045131317e-57i
0.2,0.5,0.518863202849097+0i
0.2,0.55,0.522710541458022+0i
0.2,0.6,0.526225761926957+2.67212582051107e-30i
0.2,0.65,0.52944799655632+0i
0.2,0.7,0.532410814413484+1.14768380368081e-45i
0.2,0.75,0.535143102198393+0i
0.2,0.8,0.537669801583529+0i
0.2,0.85,0.54001252390476+0i
0.2,0.9,0.542190061807915+5.63022618749191e-28i
0.2,0.95,0.544218815173948+0i
0.2,1,0.546113146125069+0i
0.25,0.1,0.518293426221731+0i
0.25,0.15,0.525811700981414+0i
0.25,0.2,0.532439478359572+0i
0.25,0.25,0.538306990535101+0i
0.25,0.3,0.5435252419542+0i
0.25,0.35,0.548187734804654+1.08619622489325e-20i
0.25,0.4,0.552372806795403-5.26483876201632e-62i
0.25,0.45,0.556146012124874+0i
0.25,0.5,0.559562280400118+0i
0.25,0.55,0.562667769110289+0i
0.25,0.6,0.565501408712165+0i
0.25,0.65,0.568096172440289+0i
0.25,0.7,0.570480112359336+0i
0.25,0.75,0.57267720231889+0i
0.25,0.8,0.574708023729235+0i
0.25,0.85,0.576590324356103-2.87103640510391e-36i
0.25,0.9,0.57833947486451+0i
0.25,0.95,0.579968843074808+0i
0.25,1,0.581490101923112+0i
0.3,0.1,0.563158833415242+0i
0.3,0.15,0.569409709949658+1.32026790213715e-122i
0.3,0.2,0.574883590458964+0i
0.3,0.25,0.57970470093319+0i
0.3,0.3,0.583975269977172+2.27218156517236e-39i
0.3,0.35,0.587779172353731-1.71726760060354e-67i
0.3,0.4,0.591185280447689+1.663730123868e-33i
0.3,0.45,0.59425033046431-2.09675647926085e-57i
0.3,0.5,0.597021275388159+0i
0.3,0.55,0.599537177527564+6.36388937334063e-52i
0.3,0.6,0.60183071666988+0i
0.3,0.65,0.603929388264892+0i
0.3,0.7,0.605856455867792+0i
0.3,0.75,0.607631710255+0i
0.3,0.8,0.609272076814251+0i
0.3,0.85,0.610792103778489+0i
0.3,0.9,0.612204356645421-1.11554925555751e-27i
0.3,0.95,0.613519738465419-3.91684734125431e-28i
0.3,1,0.614747751297469+0i
0.35,0.1,0.604488039754809+0i
0.35,0.15,0.609644522288143-1.21121656670483e-121i
0.35,0.2,0.61413746427983+0i
0.35,0.25,0.618079506551164+0i
0.35,0.3,0.621561132211585+0i
0.35,0.35,0.624655241939449+1.42236983144675e-19i
0.35,0.4,0.627420866993715+0i
0.35,0.45,0.629906108184986-2.21952511765481e-57i
0.35,0.5,0.632150427963307+0i
0.35,0.55,0.634186428193375+0i
0.35,0.6,0.636041229065142+2.91336480395718e-43i
0.35,0.65,0.637737542031467+0i
0.35,0.7,0.639294508787423+9.12070543596106e-29i
0.35,0.75,0.640728361159103+5.47513413410391e-29i
0.35,0.8,0.642052943413026-1.44621698004358e-21i
0.35,0.85,0.643280128352003+9.27795327164105e-42i
0.35,0.9,0.644420150944722+0i
0.35,0.95,0.645481877538007+0i
0.35,1,0.646473024437515+0i
0.4,0.1,0.643074286545856+0i
0.4,0.15,0.647287545368765-2.38524124765796e-59i
0.4,0.2,0.650944537484697+0i
0.4,0.25,0.654143800197194+0i
0.4,0.3,0.656963116025116+1.17748919519538e-37i
0.4,0.35,0.659464332595696-1.15255578387944e-37i
0.4,0.4,0.661697025898457+5.91321405846271e-56i
0.4,0.45,0.663701272688815+0i
0.4,0.5,0.665509745263499+0i
0.4,0.55,0.66714929867533-2.18928331404373e-21i
0.4,0.6,0.668642180059562-1.48004760472816e-21i
0.4,0.65,0.670006956533195+3.38597729550868e-29i
0.4,0.7,0.671259232671653+2.52853049057795e-29i
0.4,0.75,0.672412209703851+9.08365026819887e-44i
0.4,0.8,0.673477124801776+5.17419056366045e-43i
0.4,0.85,0.674463598848722-6.22460775856335e-22i
0.4,0.9,0.67537991381356+0i
0.4,0.95,0.676233235568233-8.24772083020993e-35i
0.4,1,0.677029794107633+0i
0.45,0.1,0.679456190990418+0i
0.45,0.15,0.682858449939447-4.1537432729828e-24i
0.45,0.2,0.685802683767101+0i
0.45,0.25,0.688372607748409+0i
0.45,0.3,0.690633447095293+0i
0.45,0.35,0.692636556585522-1.40678598831315e-67i
